,Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year"
1305,Senegal,2017,4.683024883,7.812208176,0.743759334,59.20000076,0.686937034,-0.031085404,0.825241864,0.745732069,0.290836066,0.61072278,2.007637501,0.428705275,0.402333333,0.436694503
1306,Senegal,2018,4.769377232,7.850693703,0.739354789,59.59999847,0.629223466,-0.061628066,0.80477947,0.713894129,0.247074723,0.588927925,1.964082003,0.411810994,0.402333333,0.393896788
1316,Serbia,2017,5.122031212,9.550297737,0.883770406,67.80000305,0.684846342,-0.077337377,0.851457834,0.50972122,0.326407075,0.511197984,2.394509554,0.467492193,0.383767564,0.366129756
1317,Serbia,2018,5.936493397,9.584803581,0.852945328,68.19999695,0.739891827,-0.09851145,0.863723576,0.558940828,0.296295851,0.476144999,2.246088505,0.378352731,0.383767564,0.356202871
1327,Sierra Leone,2017,4.089562416,7.237275124,0.652287126,49.20000076,0.710613549,0.086719848,0.848398328,0.600368202,0.495040029,0.73751694,2.59525919,0.634605587,0.371,0.583586097
1328,Sierra Leone,2018,4.305683136,7.26616621,0.649638355,50.79999924,0.716484487,0.101580702,0.855733216,0.551628053,0.466266662,0.779726207,3.048084021,0.707921147,0.371,0.690721095
1339,Singapore,2017,6.378437996,11.35668564,0.897349894,76.5,0.926127851,0.125963226,0.161790684,0.800114393,0.179324552,0.92699796,1.418072224,0.222322807,0.383767564,0.564909577
1340,Singapore,2018,6.374564171,9.291332013,0.902840674,76.80000305,0.91607821,-0.020011894,0.096562929,0.787092984,0.106870778,0.892469287,1.577076435,0.247401446,0.383767564,0.399787635
1349,Slovakia,2017,6.365509033,10.31411076,0.913386643,68.59999847,0.714224696,-0.066592969,0.920422673,0.788020432,0.21272248,0.34168008,1.897521973,0.298094302,0.26725,0.292588055
1350,Slovakia,2018,6.23511076,10.35223579,0.922378719,68.90000153,0.757634044,-0.179692462,0.909944654,0.75410521,0.253190041,0.327658623,1.775069594,0.284689337,0.26725,0.274584681
1360,Slovenia,2017,6.166837692,10.35458946,0.928187847,70.80000305,0.920862675,-0.027939947,0.828794718,0.615109682,0.285601437,0.239779726,1.982300639,0.321445256,0.2495,0.359244138
1361,Slovenia,2018,6.249419212,10.39720345,0.940971196,71.09999847,0.942045867,-0.12239641,0.839252532,0.643971622,0.27548486,0.239274636,1.946573853,0.311480761,0.2495,0.34900409
1380,South Africa,2017,4.513655186,9.416937828,0.870313287,56.09999847,0.787427902,-0.137357384,0.864781916,0.784800708,0.268175244,0.423274219,2.419569492,0.536055446,0.624,0.565037489
1381,South Africa,2018,4.8839221,9.411724091,0.841343999,56.5,0.752731323,-0.059033662,0.841192603,0.812166572,0.282708496,0.5246858,2.712254763,0.555343568,0.624,0.685774684
1393,South Korea,2017,5.873887062,10.48956108,0.806929946,73.30000305,0.538113713,0.009390867,0.850690424,0.623377562,0.234825626,0.358582199,2.075729609,0.353382617,0.319,0.393612236
1394,South Korea,2018,5.840231419,10.51157761,0.79772383,73.59999847,0.600161672,-0.093965843,0.796825886,0.66120857,0.217145726,0.389084011,2.043847322,0.349959999,0.319,0.398590952
1410,Spain,2017,6.230173111,10.4420948,0.903158188,74.09999847,0.755560756,-0.036033396,0.791268766,0.625055611,0.302387655,0.269585967,1.80572176,0.289834917,0.345384615,0.378949553
1411,Spain,2018,6.513370991,10.46559429,0.910314679,74.40000153,0.7222507,-0.079350598,0.776504457,0.659188032,0.357190847,0.285195619,1.667077065,0.255946904,0.345384615,0.359143615
1422,Sri Lanka,2017,4.330945492,9.364697456,0.822770596,67,0.827077389,0.088255383,0.844210029,0.794951618,0.269727528,0.517589927,2.230376005,0.514985919,0.3934,0.427296966
1423,Sri Lanka,2018,4.400223255,9.400387764,0.828065395,67.19999695,0.852628171,0.086762413,0.85801667,0.831292987,0.301279366,0.57613039,2.356080294,0.535445631,0.3934,0.408001781
1443,Sweden,2017,7.286804676,10.75682354,0.914016783,72.5,0.934582114,0.163362831,0.239366919,0.81354779,0.175066829,0.559461951,1.777176857,0.243889734,0.274153846,0.346856117
1444,Sweden,2018,7.374792099,10.76693249,0.93067956,72.59999847,0.941724658,0.069573253,0.262796581,0.822675705,0.160755426,0.49439624,1.601521969,0.217161641,0.274153846,0.381509691
1451,Switzerland,2017,7.473593235,10.95797634,0.949661374,73.80000305,0.924996912,0.17511341,0.316183478,0.773997068,0.195871487,0.819706738,1.544615626,0.206676438,0.3281,0.295817792
1452,Switzerland,2018,7.508586884,10.97594547,0.930290997,74.09999847,0.926414549,0.096368961,0.301259965,0.792225957,0.191520154,0.84997946,1.639631867,0.218367577,0.3281,0.320724994
1469,Taiwan Province of China,2017,6.359450817,9.291332013,0.891119123,64.62763236,0.75965476,-0.020011894,0.742780089,0.837277293,0.114123158,0.322822392,1.869602203,0.293987989,0.383767564,0.381671965
1470,Taiwan Province of China,2018,6.467004776,9.291332013,0.896458745,64.62763236,0.741032779,-0.020011894,0.735970736,0.848398566,0.092695646,0.311722934,1.69088614,0.261463553,0.383767564,0.330177575
1494,Tanzania,2017,3.347121239,7.894804001,0.705010295,57,0.800495505,0.104961358,0.653606057,0.714645505,0.255335689,0.913339019,2.683667421,0.801783741,0.384666667,0.549375236
1495,Tanzania,2018,3.445023298,7.928911209,0.6753304,57.5,0.807142138,0.14175652,0.611534059,0.762089312,0.221005499,0.914648473,2.665683508,0.773778081,0.384666667,0.568629265
1507,Thailand,2017,5.938895226,9.69754982,0.877268732,67,0.922896802,0.20539546,0.883816779,0.81632179,0.231597617,0.605078816,2.243722439,0.377801329,0.396692308,0.513357759
1508,Thailand,2018,6.011561871,9.734828949,0.873052418,67.19999695,0.90482825,0.251650214,0.906596005,0.843489408,0.198190212,0.605364442,2.105742693,0.350282133,0.396692308,0.482406765
1515,Togo,2017,4.360805035,7.26529932,0.507805228,54.29999924,0.716694415,-0.042401545,0.725519598,0.614188969,0.425824255,0.48495236,2.494830608,0.572103202,0.437666667,0.552189291
1516,Togo,2018,4.022894859,7.287405491,0.596353889,54.70000076,0.611966252,-0.007062926,0.808537722,0.608448625,0.446454376,0.323221207,2.110910177,0.524724185,0.437666667,0.444903791
1530,Tunisia,2017,4.124342918,9.291855812,0.717381597,66.59999847,0.477956653,-0.23090978,0.868826747,0.420961887,0.377196848,0.250827312,2.214817524,0.537011027,0.381,0.414514333
1531,Tunisia,2018,4.741132259,9.304473877,0.732953548,66.90000153,0.649680078,-0.203248903,0.84011662,0.591726601,0.365014285,0.349490464,2.179978848,0.459801316,0.381,0.431391299
1543,Turkey,2017,5.607262135,10.13179111,0.876467824,66.40000153,0.644434214,-0.242938563,0.670910537,0.449800909,0.312846124,0.586161256,1.626328588,0.290039688,0.4058,0.326897621
1544,Turkey,2018,5.185689449,10.1489172,0.847027302,66.80000305,0.528629065,-0.181653723,0.804878533,0.434654295,0.350773096,0.513677061,2.14615202,0.4138605,0.4058,0.36262396
1552,Turkmenistan,2017,5.229148865,9.704366684,0.908454895,61.79999924,0.720399201,0.04387318,0.7278104,0.52088511,0.349627674,0.497776336,1.43217814,0.273883611,0.383767564,0.265776634
1553,Turkmenistan,2018,4.620601654,9.749464035,0.984488964,62.20000076,0.857774079,0.237279803,0.7278104,0.612210274,0.189024538,0.497776336,1.198476553,0.259376734,0.383767564,0.271069974
1565,Uganda,2017,4.000516891,7.437033653,0.739956141,55.29999924,0.772344112,0.069051787,0.81577003,0.703375638,0.400025725,0.655109107,2.673379421,0.668258488,0.4322,0.640636981
1566,Uganda,2018,4.321714878,7.45870924,0.739841044,55.70000076,0.728512764,0.088241369,0.856106222,0.685168505,0.390319228,0.50385344,3.033911943,0.702015758,0.4322,0.655502677
1578,Ukraine,2017,4.311067104,8.973908424,0.858324885,64.30000305,0.598875523,0.017136369,0.936764002,0.597112179,0.234763831,0.11093653,2.255383492,0.523161292,0.265,0.421145946
1579,Ukraine,2018,4.661909103,9.012026787,0.900936723,64.59999847,0.663055062,-0.055041961,0.942960739,0.608771086,0.221851483,0.079710059,2.11156249,0.452939451,0.265,0.349749237
1589,United Arab Emirates,2017,7.039419651,11.11681843,0.83552736,66.90000153,0.962016642,0.199402541,0.7278104,0.795034885,0.207598448,0.497776336,2.030040741,0.288381845,0.383767564,0.600683749
1590,United Arab Emirates,2018,6.603743553,11.12767792,0.851041317,67.09999847,0.943664372,0.036494225,0.7278104,0.787243485,0.302041829,0.497776336,2.214761972,0.335379779,0.383767564,0.721078634
1602,United Kingdom,2017,7.103273392,10.59044647,0.937495291,72.09999847,0.812733293,0.286916465,0.418611348,0.758571804,0.20957242,0.440120846,1.615450263,0.227423355,0.341083333,0.372231811
1603,United Kingdom,2018,7.233445168,10.59694767,0.928483903,72.30000305,0.83750838,0.22199814,0.404276013,0.783171833,0.228275612,0.420859873,1.698950052,0.234874263,0.341083333,0.417473197
1615,United States,2017,6.9917593,10.90090561,0.921002865,68.40000153,0.868496716,0.188832819,0.681191266,0.826555312,0.268269062,0.386535019,1.880687952,0.268986374,0.408166667,0.610804379
1616,United States,2018,6.882684708,10.92246532,0.903856039,68.30000305,0.824606657,0.107713386,0.709928274,0.8153826,0.292226255,0.3138161,2.119374037,0.307928383,0.408166667,0.701417923
1628,Uruguay,2017,6.336009979,9.930685043,0.91380167,68.90000153,0.897851646,-0.101414755,0.626581967,0.835861266,0.280323356,0.413032115,2.288598776,0.361205041,0.427363636,0.399903923
1629,Uruguay,2018,6.371714592,9.959661484,0.917315602,69,0.876210928,-0.108451419,0.682916045,0.876920342,0.274945587,0.361706048,2.217172384,0.347971082,0.427363636,0.437541783
1640,Uzbekistan,2017,6.421447754,8.740833282,0.942131102,64.80000305,0.985177755,0.116510667,0.464641601,0.838989079,0.202737495,0.964690447,2.367688894,0.368715733,0.348,0.445986152
1641,Uzbekistan,2018,6.205460072,8.773365021,0.920821011,65.09999847,0.969897985,0.311694622,0.520360112,0.825421572,0.208660305,0.969356358,2.426437855,0.391016603,0.348,0.384973526
1653,Venezuela,2017,5.070750713,9.439295769,0.895879328,66.30000305,0.635505021,-0.20603478,0.843969226,0.725642741,0.362984866,0.241123602,2.912966013,0.57446444,0.497166667,0.563206851
1654,Venezuela,2018,5.005663395,9.270280838,0.886882067,66.5,0.610855222,-0.176155597,0.827560008,0.759221494,0.373657614,0.260699689,2.891930342,0.577731669,0.497166667,0.459489941
1666,Vietnam,2017,5.175278664,8.727759361,0.811944776,67.69999695,0.783929386,-0.020011894,0.7278104,0.707334643,0.291556867,0.497776336,1.750836015,0.338307589,0.36275,0.466430068
1667,Vietnam,2018,5.295547009,8.783415794,0.83194524,67.90000153,0.909259796,-0.039123703,0.808422983,0.692222416,0.191061363,0.497776336,1.676448464,0.316577017,0.36275,0.415666252
1677,Yemen,2017,3.253560066,9.291332013,0.789555013,55.90000153,0.595190763,-0.020011894,0.7278104,0.455181897,0.295063585,0.247786984,2.178544044,0.669587791,0.357,0.374521881
1678,Yemen,2018,3.057513952,9.291332013,0.789421916,56.70000076,0.55272609,-0.020011894,0.792586863,0.461113781,0.31486994,0.308151186,2.40200758,0.785608053,0.357,0.448596567
1689,Zambia,2017,3.932777405,8.213178635,0.74375391,54.79999924,0.823168576,0.128904432,0.739540637,0.684623301,0.387188882,0.717004061,2.650283098,0.673896015,0.5274,0.612799227
1690,Zambia,2018,4.041488171,8.223958015,0.717720389,55.29999924,0.79062593,0.03664434,0.810731292,0.702697575,0.350962847,0.606715262,2.783418655,0.688711345,0.5274,0.619443059
1702,Zimbabwe,2017,3.63830018,7.549490929,0.754147053,55,0.752826095,-0.069669798,0.751208007,0.806428373,0.224051341,0.682646692,2.656847954,0.730244279,0.432,0.581483781
1703,Zimbabwe,2018,3.616479874,7.553394794,0.775388479,55.59999847,0.762674868,-0.038383581,0.844208658,0.710118651,0.211725846,0.550507784,2.498695612,0.69091928,0.432,0.541771829
