,Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year"
300,Chile,2017,6.320119381,10.03306866,0.879840791,69.80000305,0.790116489,-0.030261263,0.835987508,0.83847481,0.291042089,0.268283308,2.162420273,0.342148632,0.491571429,0.574647009
301,Chile,2018,6.436220646,10.06591988,0.890084922,69.90000153,0.78853035,-0.070615843,0.816297412,0.832562208,0.275820225,0.334744155,2.152998447,0.33451283,0.491571429,0.434312701
313,China,2017,5.099061489,9.636177063,0.772033215,69,0.877617598,-0.191224813,0.7278104,0.821097255,0.214004755,0.497776336,2.271663904,0.445506275,0.425,0.633354962
314,China,2018,5.131433964,9.694375992,0.787605345,69.30000305,0.895377696,-0.174899161,0.7278104,0.85578388,0.189639792,0.497776336,2.262859106,0.440979868,0.425,0.538205683
326,Colombia,2017,6.157341957,9.492126465,0.909249961,67.40000153,0.837554634,-0.162942991,0.87501812,0.836926997,0.299308956,0.221882597,2.544821501,0.413298726,0.5416,0.542027473
327,Colombia,2018,5.983512402,9.511734009,0.870970428,67.69999695,0.850765765,-0.155047998,0.854820907,0.825455189,0.300624102,0.274869502,2.682672262,0.448344052,0.5416,0.506853819
340,Congo (Brazzaville),2017,4.883991241,8.493188858,0.655440509,57.29999924,0.777783453,-0.163537174,0.76278311,0.598951638,0.381640553,0.469826549,2.906801224,0.595169187,0.481,0.477259427
341,Congo (Brazzaville),2018,5.490214348,8.473278999,0.620622933,57.90000153,0.69870007,-0.124500982,0.738020182,0.587506592,0.447646171,0.473673612,3.346595287,0.609556377,0.481,0.597126544
361,Costa Rica,2017,7.22518158,9.650206566,0.92169714,71.09999847,0.93561846,-0.073179178,0.742350757,0.874395847,0.275440067,0.407448441,2.07998395,0.287879825,0.490882353,0.469308227
362,Costa Rica,2018,7.141074657,9.669425964,0.875872433,71.30000305,0.941888332,-0.104196012,0.781301796,0.870097816,0.32586664,0.479977787,2.145969629,0.300510734,0.490882353,0.786516607
372,Croatia,2017,5.343165874,10.02878857,0.770309687,69.59999847,0.715822279,-0.105906412,0.89155972,0.655305028,0.316488236,0.211000666,1.570821404,0.293987006,0.321428571,0.338284969
373,Croatia,2018,5.536271095,10.06575108,0.909806848,70.19999695,0.690855622,-0.15252924,0.925408304,0.582044125,0.290375978,0.248180911,1.703680634,0.307730705,0.321428571,0.322490156
384,Cyprus,2017,6.062051296,10.3863802,0.818671048,73.5,0.811670661,0.040062714,0.851206422,0.784188449,0.300516605,0.312653422,2.369524956,0.390878409,0.326166667,0.410138428
385,Cyprus,2018,6.276443005,9.291332013,0.825573206,73.69999695,0.794215024,-0.020011894,0.848337233,0.750122488,0.298021138,0.352440447,2.128885031,0.339186549,0.326166667,0.448661059
395,Czech Republic,2017,6.789567947,10.39224911,0.900968969,69.80000305,0.8317855,-0.178765178,0.866524994,0.738743961,0.226649791,0.343870819,1.697134495,0.249962077,0.264166667,0.282945663
396,Czech Republic,2018,7.034165382,10.41947365,0.929163933,70.30000305,0.790132403,-0.294359624,0.851382256,0.713700116,0.178068101,0.420783311,1.674933672,0.238114059,0.264166667,0.254285723
408,Denmark,2017,7.593702316,10.75112534,0.952100098,72.09999847,0.955416322,0.152028441,0.18114756,0.823667407,0.205775306,0.572353303,1.66807425,0.219665483,0.267,0.630812943
409,Denmark,2018,7.648785591,10.75559425,0.958218873,72.40000153,0.935437799,0.015592853,0.150607437,0.821422637,0.20605281,0.632478476,1.651060104,0.215859115,0.267,0.479050666
425,Dominican Republic,2017,5.605202675,9.588835716,0.894368112,65.5,0.855359018,-0.123324633,0.760489643,0.738943636,0.274745524,0.459901333,3.240837097,0.57818377,0.484705882,0.480913222
426,Dominican Republic,2018,5.433215618,9.626997948,0.861986339,65.80000305,0.866641581,-0.150951296,0.76227355,0.744871855,0.291403025,0.42177102,3.39545393,0.624943733,0.484705882,0.52009505
438,Ecuador,2017,5.839518547,9.266903877,0.848941743,68.19999695,0.879128158,-0.170977935,0.733588755,0.829141974,0.314343482,0.640512884,2.693175316,0.461198181,0.496,0.41333431
439,Ecuador,2018,6.128010273,9.27445507,0.851345003,68.5,0.869363725,-0.104021087,0.830743194,0.876474917,0.328171045,0.402085185,2.48578763,0.405643523,0.496,0.438511908
451,Egypt,2017,3.929344177,9.263900757,0.63822639,61.40000153,0.592504799,-0.159880474,0.7278104,0.539322555,0.414493799,0.497776336,2.289860725,0.582759023,0.312,0.38081485
452,Egypt,2018,4.005450726,9.293959618,0.75882405,61.70000076,0.681654453,-0.222929537,0.7278104,0.492260754,0.285183787,0.497776336,2.020606041,0.50446409,0.312,0.323928565
464,El Salvador,2017,6.339318275,8.8945961,0.82895261,65.80000305,0.757827342,-0.170792967,0.777748585,0.848850608,0.268448353,0.270235062,2.477155924,0.39076063,0.457823529,0.402195245
465,El Salvador,2018,6.276246071,8.911958694,0.823999166,66.09999847,0.863207281,-0.096786909,0.826600015,0.871536493,0.265370607,0.323992044,2.516374111,0.400936186,0.457823529,0.444246531
476,Estonia,2017,5.938395977,10.29150963,0.93568635,68.40000153,0.861749232,-0.104597919,0.668402255,0.805217981,0.160164103,0.405946255,1.8518399,0.311841756,0.332461538,0.396599621
477,Estonia,2018,6.091302395,10.32410717,0.932693779,68.59999847,0.885618389,-0.144664913,0.620677948,0.794730246,0.16318211,0.420202583,1.762923717,0.289416552,0.332461538,0.367194861
483,Ethiopia,2017,4.180315495,7.455834389,0.73353976,58,0.717101216,0.007518843,0.75689894,0.608514786,0.304436177,0.768354297,1.829915881,0.437745869,0.340333333,0.420267493
484,Ethiopia,2018,4.379262447,7.524516582,0.740154505,58.5,0.740343094,0.043273505,0.799466252,0.659520864,0.271753967,0.875270963,1.945811152,0.444323927,0.340333333,0.440552592
494,Finland,2017,7.788251877,10.61117172,0.963826418,71.80000305,0.962198973,-0.005695975,0.192412779,0.787137091,0.176065788,0.59753859,1.416398287,0.181863442,0.275615385,0.425614446
495,Finland,2018,7.85810709,10.63605976,0.962155044,71.90000153,0.937807381,-0.131735161,0.198604837,0.781546414,0.181780651,0.555102229,1.42561233,0.181419298,0.275615385,0.362294197
507,France,2017,6.635222435,10.56115437,0.931494594,73.59999847,0.83389014,-0.127377018,0.601486027,0.762097776,0.241983935,0.37479353,1.631064415,0.245819107,0.320923077,0.372855246
508,France,2018,6.665903568,10.57335186,0.921463072,73.80000305,0.816377223,-0.141567126,0.581775308,0.767313421,0.282451361,0.380547434,1.59904933,0.239884853,0.320923077,0.360965639
515,Gabon,2017,4.782382965,9.714891434,0.806941152,59.20000076,0.652359545,-0.247073993,0.868305504,0.634047151,0.446124285,0.286989242,2.457131147,0.513788044,0.422,0.58923018
516,Gabon,2018,4.783009052,9.718316078,0.78482759,59.70000076,0.719135404,-0.217487514,0.82286346,0.640691638,0.417660981,0.311373711,2.62363863,0.548533082,0.422,0.485094249
517,Gambia,2017,4.117938995,7.353572845,0.697001517,54.70000076,0.812325835,0.126379773,0.571615577,0.838287175,0.27724719,0.796493292,2.480230808,0.602299094,0.422666667,0.562509775
518,Gambia,2018,4.922099113,7.376553535,0.684799969,55,0.718728781,-0.020011894,0.691069543,0.804012179,0.3792077,0.757543445,3.158857584,0.641770422,0.422666667,0.592391193
530,Georgia,2017,4.45077467,9.18451786,0.590495169,64.69999695,0.820908785,-0.230505854,0.589631975,0.581127703,0.209639609,0.296396226,1.775079966,0.39882496,0.380117647,0.454276502
531,Georgia,2018,4.659097195,9.229100227,0.617218554,64.5,0.7751441,-0.219247594,0.754853785,0.572953463,0.243778914,0.300006181,2.223053217,0.477142483,0.380117647,0.419812053
543,Germany,2017,7.074324608,10.71949959,0.892166078,71.90000153,0.840727866,0.141375408,0.414021194,0.736565709,0.196434811,0.622935653,1.441730261,0.203797579,0.306222222,0.319597334
544,Germany,2018,7.118364334,10.73094463,0.919763148,72.19999695,0.8768875,0.030199649,0.495673954,0.780280411,0.243214577,0.592990577,1.623589158,0.228084579,0.306222222,0.283512622
567,Greece,2017,5.14824152,10.10945988,0.752899528,72.19999695,0.438300014,-0.291227311,0.87223947,0.60293901,0.332830757,0.139880896,2.411631107,0.468437821,0.346384615,0.346705943
568,Greece,2018,5.40928936,10.13205814,0.793500781,72.40000153,0.564455688,-0.336384535,0.860302389,0.665699065,0.255006582,0.157048658,2.07977128,0.38448143,0.346384615,0.315494269
580,Guatemala,2017,6.325118542,8.912446976,0.826492071,64.5,0.914521694,-0.059932403,0.799747884,0.845865786,0.308086157,0.458623856,2.858946085,0.4519988,0.523666667,0.495318562
581,Guatemala,2018,6.626591682,8.923428535,0.841107249,64.80000305,0.909538031,-0.011167034,0.765454412,0.871362031,0.262411267,0.45706442,2.840461254,0.428645879,0.523666667,0.634369075
588,Guinea,2017,4.873722553,7.600365162,0.634025574,53.29999924,0.738212824,0.046024639,0.750026226,0.704477131,0.422460884,0.639980793,2.969935417,0.609377205,0.387,0.618353307
589,Guinea,2018,5.25222683,7.633718014,0.630433142,54.40000153,0.731157243,0.100011282,0.778393805,0.743881047,0.4404383,0.59172374,3.302635193,0.628806651,0.387,0.603387713
600,Haiti,2017,3.823865652,7.410451412,0.646984994,55.5,0.484429151,0.380740523,0.647191584,0.573366702,0.321692765,0.435076952,2.15694499,0.564074457,0.411,0.574473023
601,Haiti,2018,3.614928007,7.416091919,0.537975907,55.70000076,0.591468394,0.420986384,0.720444739,0.5841133,0.358720034,0.367896646,3.076730251,0.851117969,0.411,0.669433951
613,Honduras,2017,6.019985676,8.421077728,0.84335494,67,0.898377419,0.078603566,0.783429444,0.842200935,0.248383343,0.495585024,2.963586092,0.492291212,0.5466875,0.561559021
614,Honduras,2018,5.908423901,8.439203262,0.827067018,67.19999695,0.872161686,0.105728693,0.803564787,0.871844649,0.287357897,0.398913682,3.134720325,0.530551016,0.5466875,0.672158837
652,India,2017,4.046111107,8.768212318,0.606767476,59.70000076,0.88585043,-0.053620495,0.780802786,0.682090998,0.317936778,0.8392784,1.65982759,0.410227895,0.351,0.380112171
653,India,2018,3.818068743,8.830280304,0.638051987,60.09999847,0.890443385,0.071806304,0.80526334,0.65728718,0.357458085,0.753280878,2.212352753,0.579442859,0.351,0.428205669
665,Indonesia,2017,5.098401546,9.322663307,0.795589209,61.90000153,0.865026295,0.475460678,0.900416434,0.862584174,0.319171578,0.825765371,2.3251791,0.45606041,0.395,0.449708253
666,Indonesia,2018,5.340295792,9.362827301,0.809378862,62.09999847,0.879374385,0.499377817,0.867729425,0.863717854,0.295986801,0.837602735,2.530802488,0.473906785,0.395,0.464347184
676,Iran,2017,4.716783047,9.856533051,0.714232922,65.69999695,0.730635166,0.186621651,0.714941323,0.693666041,0.438533902,0.497776336,2.497179031,0.529424191,0.4134,0.852039635
677,Iran,2018,4.278117657,9.886064529,0.673764706,66,0.603319883,0.044715501,0.703439772,0.553196609,0.493148893,0.549940705,2.375708342,0.555316269,0.4134,0.44058615
698,Ireland,2017,7.060155392,11.11744022,0.943481982,72.19999695,0.905341148,0.210759684,0.33708474,0.833388925,0.212784126,0.603799641,1.761334419,0.2494753,0.326153846,0.367454171
699,Ireland,2018,6.962335587,11.16332817,0.937862396,72.30000305,0.861471593,0.139783427,0.362210244,0.810857236,0.213050067,0.618405282,1.863788128,0.267695814,0.326153846,0.366410613
711,Israel,2017,7.331036091,10.40826416,0.916440845,73.09999847,0.768076301,0.142772496,0.792652249,0.673591316,0.276443154,0.389368147,1.522682905,0.20770365,0.4112,0.245601237
712,Israel,2018,6.92717886,10.4245739,0.90959543,73.30000305,0.724662304,0.052549962,0.770134807,0.66348964,0.28206256,0.422329724,1.734907031,0.2504493,0.4112,0.261861771
724,Italy,2017,6.198870182,10.4693718,0.919791222,73.40000153,0.632843256,-0.037178084,0.866667926,0.661180735,0.322846144,0.230196297,1.927246571,0.310902864,0.344,0.346708387
725,Italy,2018,6.516526699,10.48051643,0.912656128,73.59999847,0.650009274,-0.023462269,0.887824833,0.649023056,0.402975351,0.206626192,1.522744656,0.233674273,0.344,0.457490861
731,Ivory Coast,2017,5.037734985,8.188968658,0.661375344,48.90000153,0.732097924,-0.096848264,0.770940244,0.697735488,0.35745579,0.516654313,2.612090111,0.518504858,0.42,0.557953954
732,Ivory Coast,2018,5.26837492,8.236133575,0.620882571,49.5,0.712590039,-0.036959659,0.790966868,0.682098389,0.385631382,0.535438716,3.078240871,0.58428663,0.42,0.52024436
749,Japan,2017,5.910676479,10.57137394,0.881961286,74.90000153,0.849396586,-0.217277035,0.659198642,0.740387619,0.17551218,0.412489951,1.950256944,0.329954952,0.321,0.42615369
750,Japan,2018,5.793575287,10.58161831,0.886431932,75,0.77347213,-0.272972286,0.686784506,0.703355014,0.185300156,0.384880394,1.916025519,0.330715567,0.321,0.418661803
762,Jordan,2017,4.808082581,9.028517723,0.814664543,66.59999847,0.766262472,-0.150125921,0.7278104,0.627798378,0.391505182,0.497776336,2.523892403,0.52492702,0.343,0.363606215
763,Jordan,2018,4.638933659,9.024435043,0.799544334,66.80000305,0.762420297,-0.183489695,0.7278104,0.707334643,0.291556867,0.497776336,2.764460564,0.595925868,0.343,0.391051114
775,Kazakhstan,2017,5.882351398,10.08812237,0.914093196,64,0.745243967,-0.045617759,0.755250692,0.756762207,0.171486408,0.755705774,1.745323777,0.296705127,0.305866667,0.337242872
776,Kazakhstan,2018,6.00763607,10.111166,0.936656713,64.59999847,0.84018296,-0.108595312,0.82378298,0.69319874,0.161542282,0.615031958,1.878688693,0.312716782,0.305866667,0.384010792
788,Kenya,2017,4.475654125,8.004040718,0.714604318,59.5,0.853394389,0.249233559,0.85400039,0.788452208,0.230210304,0.637862563,2.532363415,0.565808535,0.4365,0.521331966
789,Kenya,2018,4.655702591,8.03267765,0.706719875,60.09999847,0.821412981,0.306653082,0.844244063,0.759102881,0.236920774,0.675367296,2.749230623,0.590508223,0.4365,0.584187031
800,Kosovo,2017,6.149199963,9.189712524,0.792087257,64.87929535,0.857676744,0.11196661,0.92519182,0.738435566,0.185879096,0.298196137,2.432453156,0.395572305,0.289909091,0.402043372
801,Kosovo,2018,6.391825676,9.291332013,0.82240653,65.14982605,0.88973701,-0.020011894,0.922078192,0.778271317,0.170248464,0.347546548,2.56380105,0.401106209,0.289909091,0.402302265
823,Kyrgyzstan,2017,5.629536629,8.129609108,0.882586658,63.79999924,0.859389782,0.164255798,0.874494493,0.755125225,0.160438314,0.561672747,1.901391029,0.33775267,0.304117647,0.382150888
824,Kyrgyzstan,2018,5.297383308,8.151305199,0.898147821,64.09999847,0.94494766,0.287731975,0.907405317,0.763270557,0.203300148,0.497065544,1.901606202,0.358970851,0.304117647,0.388922274
830,Laos,2017,4.623140812,8.763640404,0.70733577,58.29999924,0.891000748,0.073066324,0.591616809,0.872791767,0.344225883,0.839935005,1.881973863,0.407076895,0.348,0.585087001
831,Laos,2018,4.85940218,8.813603401,0.70473814,58.70000076,0.906660974,0.140599459,0.634239852,0.852213562,0.331882507,0.497776336,2.161453962,0.444798321,0.348,0.552090645
842,Latvia,2017,5.977817535,10.12918186,0.895098746,66.5,0.699520111,-0.158590496,0.79837811,0.623312771,0.231753111,0.264000505,1.814803123,0.303589582,0.360333333,0.36218524
843,Latvia,2018,5.901154041,10.18411732,0.913276315,66.80000305,0.608207643,-0.216999531,0.798949242,0.585233271,0.191870555,0.1971623,1.718401551,0.291197538,0.360333333,0.330420047
855,Lebanon,2017,5.153989792,9.50058651,0.776583016,66.59999847,0.604554176,-0.072667308,0.910727262,0.515443921,0.243549213,0.217718095,1.929767609,0.374422073,0.318,0.326644003
856,Lebanon,2018,5.167186737,9.507958412,0.829380631,67.09999847,0.60703069,-0.066325933,0.906650305,0.463880777,0.270688891,0.219074845,2.150793314,0.416240692,0.318,0.319639176
866,Liberia,2017,4.424490929,6.623783588,0.684866846,55.29999924,0.733389914,0.035448756,0.866806388,0.667946458,0.39133054,0.554991543,3.393739939,0.767035127,0.3485,0.590849876
867,Liberia,2018,4.134852886,6.630169868,0.726750135,56.09999847,0.765769541,0.096002631,0.867924094,0.659731567,0.436099499,0.70391202,3.718958378,0.899417341,0.3485,0.661966324
871,Libya,2017,5.646852493,9.791522026,0.822758794,62.29999924,0.778695881,-0.053038593,0.673065543,0.69704932,0.379374176,0.497776336,2.507787943,0.444103688,0.383767564,0.586069345
872,Libya,2018,5.493977547,9.291332013,0.824165165,62.29999924,0.780558527,-0.020011894,0.645838797,0.705535412,0.398903102,0.497776336,2.472342968,0.450009674,0.383767564,0.596754014
884,Lithuania,2017,6.272940636,10.2929678,0.926316619,66.69999695,0.749307334,-0.177641675,0.789709866,0.607613146,0.19511883,0.32124728,2.175804377,0.346855581,0.355,0.428504139
885,Lithuania,2018,6.308878899,10.33951187,0.929350138,67.30000305,0.698945105,-0.240978554,0.851745069,0.516805112,0.213559717,0.323758096,1.953950167,0.309714317,0.355,0.330166399
894,Luxembourg,2017,7.061380863,11.45400238,0.905435503,72.59999847,0.90282172,0.039554782,0.330173582,0.765816867,0.184467003,0.73892206,1.424475908,0.201727673,0.316076923,0.292349696
895,Luxembourg,2018,7.242630959,11.45392799,0.902192414,72.59999847,0.883929849,-0.025496062,0.385146111,0.750309467,0.201894343,0.755200863,1.344781637,0.185675845,0.316076923,0.326442361
905,Macedonia,2017,5.233866692,9.481223106,0.79995513,67.30000305,0.752106607,-0.057991773,0.855697274,0.502459884,0.299390584,0.442916453,2.111887217,0.403504193,0.390166667,0.371204376
906,Macedonia,2018,5.239834785,9.503044128,0.84891516,67.5,0.744800925,-0.04029087,0.909934342,0.590138078,0.298352867,0.396141589,2.150596857,0.41043219,0.390166667,0.340062618
915,Madagascar,2017,4.078620434,7.255901337,0.626331985,58.70000076,0.570347905,-0.029692357,0.847260773,0.751698077,0.374838024,0.541916132,2.328914881,0.571005523,0.43075,0.57831651
916,Madagascar,2018,4.070586681,7.279894829,0.665512979,59.09999847,0.551473081,0.00569242,0.889145672,0.752341032,0.362013817,0.442305923,2.574611664,0.632491529,0.43075,0.576086402
926,Malawi,2017,3.416862965,6.998548031,0.555422723,56.90000153,0.847920775,0.017441062,0.734636605,0.608666539,0.312088341,0.620332539,2.760293245,0.807844281,0.427,0.57405597
927,Malawi,2018,3.334633589,7.005932331,0.527843475,57.59999847,0.798915148,0.065060876,0.765963793,0.586300433,0.364894032,0.572984874,3.128339529,0.938135922,0.427,0.702330112
949,Mali,2017,4.741850376,7.608029842,0.741359413,51.20000076,0.753213346,-0.067120329,0.862655163,0.741835773,0.392784148,0.504820108,2.511667967,0.529680967,0.372666667,0.549026549
950,Mali,2018,4.415729523,7.627428055,0.691859066,51.70000076,0.737204552,-0.031888556,0.793091416,0.770017266,0.369648188,0.510795414,2.631044626,0.595834672,0.372666667,0.598786891
959,Malta,2017,6.675665855,10.50543213,0.937331796,72.19999695,0.923642933,0.247621223,0.690494537,0.720753372,0.302443117,0.75200516,1.994550347,0.298779249,0.2911,0.41963762
960,Malta,2018,6.909710884,9.291332013,0.931541502,72.19999695,0.927340686,-0.020011894,0.595199883,0.721224427,0.295698792,0.757713675,1.81986022,0.26337719,0.2911,0.385406852
971,Mauritania,2017,4.678159714,8.188031197,0.77922523,56.70000076,0.527446806,-0.135666266,0.777314067,0.637107074,0.272321939,0.292109728,2.130549908,0.455424786,0.36875,0.459489941
972,Mauritania,2018,4.313615322,8.196549416,0.801595509,57,0.466888547,-0.095451452,0.710529268,0.663382471,0.275557995,0.258394152,2.119996548,0.491466284,0.36875,0.459489941
976,Mauritius,2017,6.174117565,9.918018341,0.910142243,66.09999847,0.912307501,0.077978596,0.818179905,0.747760177,0.168721184,0.614670753,2.247790575,0.36406669,0.3575,0.415626824
977,Mauritius,2018,5.88174057,9.956447601,0.90884155,66.40000153,0.866928101,-0.082134947,0.78524971,0.77395165,0.157993257,0.619251132,2.557258368,0.434779197,0.3575,0.432353795
989,Mexico,2017,6.410299301,9.760567665,0.799839377,68,0.861405134,-0.204242066,0.800893068,0.842642307,0.230990887,0.25695315,2.236207247,0.348845989,0.4698,0.438771129
990,Mexico,2018,6.549578667,9.769919395,0.858068883,68.30000305,0.816200495,-0.181818426,0.808638096,0.88171345,0.213254362,0.294568479,2.326329947,0.355187714,0.4698,0.456424832
1002,Moldova,2017,5.325530529,8.554483414,0.83076793,64.30000305,0.552825212,-0.003629582,0.926333785,0.581488788,0.259477794,0.132729635,1.885169268,0.353987128,0.326058824,0.433169961
1003,Moldova,2018,5.682277203,8.592376709,0.89207989,65,0.823824346,-0.033677354,0.928719878,0.58171463,0.27007246,0.237631857,2.034441233,0.358032733,0.326058824,0.400689602
1013,Mongolia,2017,5.333850384,9.379310608,0.924250782,62.09999847,0.674627423,0.104439713,0.864952207,0.675165296,0.213599518,0.275058359,2.095161676,0.392804742,0.334,0.389351517
1014,Mongolia,2018,5.464622974,9.41570282,0.941514134,62.29999924,0.695546806,0.040724155,0.848502219,0.654125035,0.191890299,0.270371318,2.010124445,0.367843211,0.334,0.364350021
1024,Montenegro,2017,5.614798546,9.705602646,0.881199837,68.30000305,0.625906289,-0.082077965,0.755680025,0.519128144,0.349785089,0.351549894,2.207511902,0.393159598,0.3094,0.352438509
1025,Montenegro,2018,5.650189877,9.732954979,0.855979621,68.5,0.626431286,-0.04869676,0.768922508,0.589933157,0.354935259,0.398499161,2.270362854,0.40182063,0.3094,0.406528622
1032,Morocco,2017,5.312482834,8.920658112,0.641193092,65.59999847,0.814258039,-0.227033943,0.840502441,0.559288204,0.322715908,0.497776336,2.287168264,0.43052718,0.402666667,0.527966917
1033,Morocco,2018,4.896791935,8.937397957,0.553759754,65.90000153,0.773180425,-0.245612621,0.843172729,0.638049185,0.415981561,0.497776336,2.710511208,0.553527951,0.402666667,0.543106675
1039,Mozambique,2017,4.279863358,7.035358906,0.678463697,53.20000076,0.822670519,-0.024964124,0.682108939,0.648381412,0.353176504,0.759234369,2.985019922,0.697456837,0.488666667,0.608845353
1040,Mozambique,2018,4.653713703,7.039377689,0.738480449,54.20000076,0.896621585,0.053591631,0.691220403,0.639639556,0.397278726,0.832037926,3.32643199,0.714790881,0.488666667,0.784366608
1046,Myanmar,2017,4.154341698,8.629019737,0.795183837,58.70000076,0.886011839,0.629576743,0.618821502,0.74564749,0.282285541,0.82417655,2.233865976,0.537718415,0.381,0.424162179
1047,Myanmar,2018,4.410633087,8.685232162,0.773825943,59,0.906110823,0.469964564,0.646725893,0.776950598,0.300140351,0.878752649,2.28704071,0.518528879,0.381,0.424045384
1050,Namibia,2017,4.441306114,9.163438797,0.82833904,56.20000076,0.810401857,-0.196625322,0.831302881,0.72067821,0.277252167,0.745853603,2.739773273,0.616884589,0.611333333,0.602735937
1051,Namibia,2018,4.834087849,9.15621376,0.864214778,56.5,0.75390476,-0.175729156,0.845942497,0.739386976,0.240249082,0.62446779,2.101937532,0.434815764,0.611333333,0.771211088
1063,Nepal,2017,4.736692429,7.80090189,0.816383302,62.40000153,0.84514761,0.144506738,0.770177126,0.570577025,0.375977933,0.559578538,2.468453646,0.521134436,0.383,0.463746637
1064,Nepal,2018,4.910086632,7.851007462,0.768335521,63.5,0.770093679,0.132780746,0.741752803,0.536977708,0.386792421,0.648398161,3.040154457,0.619165123,0.383,0.497896463
